"featureID","p_val","sum_sq","f_val","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","adj_p_val","Limu_MA","Coral_MA","CCA_MA","sample_type_DA"
"id_10",0.362339973044259,37.8515084965481,1.02554820782959,0.855650815955052,0.651997431658233,1.58357582613715,0.341449276073727,0.727925010182095,0.785870789403663,0.415237072125564,7.21072893065261,6.48280392047052,5.62715310451546,"NA"
"id_1000",0.163639815895701,51.4300349491014,1.84325065672842,0.99069914155298,0.469985884760898,1.84772242738646,0.147611471848882,0.857023285833484,0.643642512646456,0.212957247695088,3.34781211081825,2.49078882498477,1.50008968343179,"NA"
"id_10001",0.025300942811055,11.7580816005372,3.81548644058804,-0.434979048426252,0.270381278789987,0.42947720287013,0.387416637676497,0.864456251296381,0.0207583619449515,0.0517323669459856,0.272534354393926,-0.591921896902456,-0.156942848476204,"Limu"
"id_10005",0.0130699901914978,29.636798390406,4.53113022919121,-1.20000204639398,0.0111727274730281,-0.371143221037098,0.714283053295687,0.828858825356884,0.177756359117712,0.033396478744392,0.258808331717822,-0.570050493639063,0.629951552754919,"CCA"
"id_10007",0.0578156234945609,4.1089722331461,2.93331586672937,0.0827527137516201,0.89953221745452,0.508647208308709,0.0577541411981075,0.425894494557088,0.120245770986951,0.0934096352307309,-0.250821985576506,-0.676716480133594,-0.759469193885214,"NA"
"id_10008",6.15377497896875e-06,72.8021183443298,13.5604805595501,-0.328195585226363,0.648840024736936,1.7850733548985,0.000200015625585803,2.11326894012486,6.15513329460526e-06,8.01982260204115e-05,1.78221949351104,-0.331049446613817,-0.0028538613874538,"Limu"
"id_1001",0.516113622508756,8.48500425424803,0.66582256863173,0.325275634750475,0.835575370039349,0.76274705137713,0.484088742411947,0.437471416626654,0.777225499484289,0.562944083922741,1.73342760237441,1.29595618574776,0.970680550997284,"NA"
"id_10010",0.525886121870198,17.6677640512784,0.646818595841636,-0.940749136183277,0.498560814273642,-0.618729342434854,0.799098439437124,0.322019793748423,0.938121324197992,0.572517819078477,1.70748782424937,1.38546803050095,2.32621716668423,"NA"
"id_10014",0.0408400928252066,3.65171140647447,3.30258482017065,0.150627064633805,0.642526191213176,0.497373232840611,0.0324596903497066,0.346746168206806,0.167498036995343,0.0711513064662989,-0.329970311926788,-0.676716480133594,-0.8273435447674,"Limu"
"id_10019",0.141966480772468,29.0372485006583,1.99077460662033,0.565620276492658,0.623351461737436,-0.810850741803159,0.488500222916552,-1.37647101829582,0.11946540391034,0.189677873512556,1.50110631763912,2.87757733593493,2.31195705944228,"NA"
"id_10020",0.469776843042365,8.97722368950152,0.761234120718099,-0.655843845587553,0.457216851300799,-0.516129429640924,0.697132026193842,0.139714415946629,0.972520356797159,0.518725348761065,0.563544853628431,0.423830437681801,1.07967428326935,"NA"
"id_10024",0.0173052411116012,13.7568052655969,4.22586034576407,-0.445824193014381,0.272323192965095,0.494374896426051,0.305571075808114,0.940199089440432,0.0133803050593537,0.0407600915935875,0.35849296668635,-0.581706122754082,-0.1358819297397,"Limu"
"id_10032",1.76334810963018e-06,142.49238457799,15.1693280684888,-1.61577227413657,0.00372354792629681,1.36607041462198,0.046947006554085,2.98184268875855,1.48481742068274e-06,2.94647420642354e-05,2.30512620862496,-0.676716480133594,0.939055794002978,"CCALimu"
"id_10034",0.0249536600118383,5.3344122063358,3.83036434037859,-0.128924859094268,0.772633703280931,0.453021860874802,0.101030194005283,0.58194671996907,0.020544157624298,0.0512651336628079,-0.0947697601645228,-0.676716480133594,-0.547791621039326,"Limu"
"id_10035",0.00722516788194886,23.4729487001319,5.18144202779226,0.920112618760578,0.0213328704858364,1.09783219840719,0.0175439781909434,0.17771957964661,0.889389122666727,0.0208015252511427,0.270488653639789,0.0927690739931788,-0.8273435447674,"CoralLimu"
"id_10048",0.506464246718085,8.35688513508448,0.684950710262495,0.338903400037995,0.815778958590503,-0.39536685214527,0.814590297735209,-0.734270252183265,0.478719447071332,0.553844269255595,0.798173510677013,1.53244376286028,1.19354036282228,"NA"
"id_1005",0.0560386054078585,43.2197780393396,2.96637584991163,0.150826773929782,0.966716344001075,-1.44414959302524,0.107681354053549,-1.59497636695502,0.0590691494529676,0.0910132946067538,1.02955137914948,2.6245277461045,2.47370097217472,"NA"
"id_10052",0.00844039015327641,7.96008431211245,5.01014046468285,0.150627064633805,0.734606194957959,0.71897407539523,0.00752259219063256,0.568347010761425,0.0378302540833609,0.0234167765396101,-0.108369469372168,-0.676716480133594,-0.8273435447674,"Limu"
"id_10057",0.142011122086009,18.3493144512537,1.99044768940303,0.250692484212267,0.862805099081502,-0.830912021101296,0.306449072898056,-1.08160450531356,0.125297209312774,0.189677873512556,0.353525858026271,1.43513036333983,1.18443787912757,"NA"
"id_10058",1.01063289762942e-09,434.324655897965,25.6620555318541,3.21250821809991,1.10915931537114e-05,-1.83697797315899,0.0464519584910257,-5.0494861912589,2.62866961531216e-09,5.57509408048449e-08,0.750512820744976,5.79999901200388,2.58749079390397,"CoralCCA"
"id_10059",0.22187123730422,27.8388743896208,1.52855741921559,1.15631788720776,0.210433318757233,0.325744997917258,0.910829346129824,-0.830572889290506,0.531356045419352,0.273830315702598,1.26308322282006,2.09365611211057,0.937338224902801,"NA"
