"network","limu_RA","cca_RA","coral_RA","FC_LimuVCoral","FC_LimuVCCA","FC_CoralVCCA","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","f_stat","sum_of_sq","p_val","adj_p_val"
87,0.00930896518495098,0.0136540768992504,0.0120897381581105,-0.377090291651336,-0.5526390751126,-0.175548783461264,-0.00605429178445865,0.286984699369312,-0.0202161047242905,9.32963541442344e-05,-0.0141618129398318,0.00646360168071547,9.6471002411727,0.00603922257855183,0.0001475820224614,0.000646426519436193
18,0.022828616386058,0.0336564695485905,0.0382911779973285,-0.746168621957871,-0.560040428439376,0.186128193518496,0.0142585473653517,0.305268111005453,-0.0293226371326112,0.0274564705845621,-0.0435811844979629,0.000376907408971006,7.95057031473231,0.0290676653511415,0.00062461800299418,0.00201654691483897
61,0.013341885539597,0.00995465697554299,0.0173868004766683,-0.382029902419186,0.422519061019648,0.804548963438834,0.0333675690108473,0.00648361418620402,0.00616261063953481,0.87297713335021,-0.0272049583713125,0.0683877253303471,5.44057123742365,0.0243686427378931,0.00571630503463034,0.0111571101081375
85,0.121786426481819,0.0345372648281037,0.0599629189063264,1.02221083048367,1.81812761030181,0.795916779818143,0.0613630618630118,3.33881697699434e-05,0.165717350310094,1.21446852574536e-10,0.104354288447083,1.37674038835911e-09,57.7556911120734,0.400144430687759,2.12074954589416e-17,1.76493489986081e-15
105,0.0375830900459044,0.029818197318076,0.0525382744435383,-0.483285129017362,0.333890647622487,0.817175776639848,0.0654609848375493,5.61378619265973e-05,0.0143439282344321,0.674979613105035,-0.0511170566031173,0.00724125721028201,11.009155853224,0.0919967957913852,4.77253825905774e-05,0.000272872607330859
71,0.000553680053895626,0.0566569424354859,0.000799139706969201,-0.529395189326833,-6.67705638641684,-6.14766119709001,-0.172123663193024,1.30494060002206e-10,-0.175299348838751,1.2089520495806e-09,-0.00317568564572654,0.990850192510488,38.5408364263245,0.712018931955612,3.90228693008553e-13,2.24831762356466e-11
583,0.00515353355721607,0.00262788571764917,0.00443830604513445,0.215552813201313,0.971659429136635,0.756106615935322,0.0166317952008629,8.10615674393667e-05,0.0203766764402782,3.2135753242013e-05,0.00374488123941524,0.658981028285542,14.0143651391836,0.00789033091433638,4.31149691428915e-06,3.43543743489635e-05
801,0.00326940588304726,0.00257236775969504,0.000380805737242358,3.10190137311727,0.345931579824697,-2.75596979329258,-0.0316130403957869,3.89131429889833e-06,-0.0123853499343714,0.196999435337397,0.0192276904614155,0.018682178386131,13.5063231541413,0.0200186542927094,6.42172594775271e-06,4.71556150477135e-05
193,0.00230626457872309,0.00410338470878736,0.000533027774553347,2.11327541622361,-0.831256388029295,-2.94453180425291,-0.0275331721548606,0.00011336782824567,-0.0059626680982922,0.702240153424487,0.0215705040565684,0.0102068919048118,10.1439619389697,0.0162973767120049,9.74761887155786e-05,0.000483507717536214
131,0.00242061724521016,0.00156521708193579,0.00229776172168055,0.0751457763877105,0.629012214149811,0.553866437762101,0.00882616223890412,0.0478524304611436,0.00541588774287795,0.418019941081903,-0.00341027449602616,0.693936368074168,2.89131064613164,0.00154201997308708,0.0601566673497322,0.0775513663424258
1223,0.00216519509037958,0.00141300813238156,0.00218233755159093,-0.0113772449738065,0.615727252894488,0.627104497868294,0.012385098748901,0.00441590794674285,0.00974394709599496,0.0758672893955773,-0.00264115165290601,0.814384855703687,5.61083174912561,0.00320108068663768,0.00490377665753538,0.00990007740294879
1578,0.00121495964490644,0.000414553732202423,8.66549408003215e-05,3.80948257523784,1.55127738201688,-2.25820519322096,-0.00744748161646316,0.0654176705091837,0.0149145244726119,0.00050182921750741,0.022362006089075,9.73116551783448e-08,17.9945030588185,0.00764836692512301,2.1125646756058e-07,2.43432452619807e-06
181,0.0034220347211494,0.00247464610369834,0.000480057564939583,2.83357507938581,0.467632176205093,-2.36594290318072,-0.0202334680796286,0.00253951136849861,0.0155082329512744,0.0664238219229283,0.035741701030903,1.79213749817997e-06,15.1265311994799,0.020751987604256,1.82222859455818e-06,1.58703397363265e-05
326,0.00578120252796173,0.00167361330766869,0.00563281848467064,0.037512631896908,1.78840338567655,1.75089075377964,0.0350727480014011,0.000170693977426306,0.0302980365617951,0.0066075760627371,-0.004774711439606,0.869662716105455,9.72929450212887,0.0266962162076184,0.000137762483482235,0.000630343646618573
582,0.00509105875041417,0.00733873251249787,0.00683705956110973,-0.425410279146616,-0.527565199488023,-0.102154920341406,-0.000963359977697004,0.993324001809886,-0.00866742053855223,0.670932331512674,-0.00770406056085522,0.718127772399213,0.413497504628316,0.00124252280900765,0.66245869427382,0.687232080347772
129,0.00145407759228575,0.00434309569474647,0.00340166100387241,-1.22613511866031,-1.57861948494113,-0.352484366280826,-0.00826315192390363,0.288050898416608,-0.0267350884843159,0.000159388890802803,-0.0184719365604123,0.00989051634693605,9.00395588594134,0.0105316509054161,0.000253772018944411,0.00100568911211304
