featureID,CCA,Coral,Limu,MeanDecreaseAccuracy,MeanDecreaseGini,RF_selection
id_2,0.000166666666666667,0.000166666666666667,0.00128888888888889,0.00043993993993994,0.0130598290598291,Not Important
id_3,0,0,0,0,0.00746666666666667,Not Important
id_4,0,0,0.000285714285714286,6.25e-05,0.00738888888888889,Not Important
id_10,0,0,0,0,0,Not Important
id_11,-2.52100840336134e-05,0.000359477124183007,-0.000111111111111111,0.000163144963144963,0.0333084591572976,Not Important
id_12,0.000595512820512821,0.000582417582417582,0.00194285714285714,0.000861794596381063,0.0910788452742099,Not Important
id_13,0.000831623931623932,-1e-04,0.00128333333333333,0.000527556636689764,0.106396730205554,Not Important
id_14,0.00121272061272061,0.000599358974358974,0.00256829836829837,0.00126389071998828,0.194988868167648,Important
id_20,0.000394736842105263,0.000125,5e-04,0.000279738562091503,0.0378335808109652,Not Important
id_21,0,0.000155555555555556,0,4.73684210526316e-05,0.0284360805860806,Not Important
id_22,-2e-04,0,0.000222222222222222,0,0.0303571428571429,Not Important
id_24,0,0,0,0,0,Not Important
id_25,0,0.000125,0,5e-05,0.0149556548714443,Not Important
id_26,0.00314512987012987,0.000459109311740891,0.00303333333333333,0.00185013514177601,0.239641600650049,Important
id_28,0,0,0,0,0,Not Important
id_29,0,0.000142857142857143,0.000507936507936508,0.000160739687055477,0.00762096774193548,Not Important
id_33,0.000111111111111111,0.000142857142857143,0,9.75609756097561e-05,0.00577358490566037,Not Important
id_37,0.00113181818181818,0.00131578947368421,0.00125213675213675,0.00124019262391355,0.159087202792411,Important
id_45,7e-04,0.000142857142857143,0.000181818181818182,0.000413636363636364,0.0308426074322944,Not Important
id_47,0.0014017094017094,-0.000142857142857143,0.00172380952380952,0.000865668202764977,0.074450139645301,Not Important
id_49,0.00229883800410116,0.000653968253968254,0.00453333333333333,0.00220766400411443,0.261486582197862,Important
id_51,0,0,0,0,0.00565714285714286,Not Important
id_53,0.000579185520361991,0.000358333333333333,0.00354920634920635,0.00108291306175094,0.218790509513638,Important
id_55,0,0,0.000285714285714286,5.40540540540541e-05,0.0102,Not Important
id_56,-0.000166666666666667,-1e-04,0,-0.000102564102564103,0.003,Not Important
id_61,0.000966666666666667,0.000662179487179487,0.00125324675324675,0.000879982762335704,0.0910478357252423,Not Important
id_64,5e-04,0,0.000545454545454545,0.000285714285714286,0.0168883205456095,Not Important
id_66,0.000766666666666667,0.000125,0,0.000333590733590734,0.0244114634412117,Not Important
id_70,0,0,0,0,0,Not Important
id_72,-0.000142857142857143,0,0,-5.71428571428571e-05,0.00342857142857143,Not Important
id_74,0.000437728937728938,0.000779322638146168,-0.00025,0.000442907969223759,0.11719343802391,Not Important
id_75,0.000717647058823529,0.00079484004127967,0.000512820512820513,0.000706814915483646,0.100948700104155,Not Important
id_76,0,0.000166666666666667,0.00025,0.000117647058823529,0.0125171261487051,Not Important
id_77,0,0.000125,0,5.55555555555556e-05,0.0311968536925043,Not Important
id_78,-0.000461538461538462,0.000769230769230769,0.000333333333333333,0.0001875,0.0198756086631815,Not Important
id_81,0.000919264069264069,0.000633333333333333,-2.22222222222222e-05,0.000576924565948956,0.0743121712480728,Not Important
id_82,0,0,0,0,0.00991902834008098,Not Important
id_84,-0.000133333333333333,0,0,-5.55555555555556e-05,0.00187878787878788,Not Important
id_85,-0.000153846153846154,0,0.000727272727272727,0.000157894736842105,0.0223486483504358,Not Important
id_91,0.00025,0,0,0.000114285714285714,0.00953333333333333,Not Important
id_92,0.00144655344655345,0.00043859649122807,0.00045,0.000826026604973973,0.0594045724201331,Not Important
id_94,0.000388888888888889,-0.000244444444444444,0.00106293706293706,0.000340388294663678,0.0861204591282567,Not Important
id_95,0,0,0,0,0,Not Important
id_98,0,0,0,0,0.002,Not Important
id_99,0.000181818181818182,0,0,5e-05,0.0288240150093809,Not Important
id_101,0.000258333333333333,0.000264957264957265,0,0.000202564102564103,0.0304018243194714,Not Important
id_102,0,0,0,0,0.00466666666666667,Not Important
id_104,0,0,0,0,0.003,Not Important
id_107,0,0,0,0,0,Not Important
id_111,0.000266666666666667,0,0,9.09090909090909e-05,0.0264876215387747,Not Important
id_112,0.00128717948717949,-0.00014520202020202,0.0032508658008658,0.00104810278626068,0.201963010993959,Important
id_113,0,0,0,0,0,Not Important
id_114,0,0,0,0,0,Not Important
id_123,0,0.000383333333333333,0,0.000180555555555556,0.0279809778456837,Not Important
