"family","n_samp_obs","Limu_MA","CCA_MA","Coral_MA","FC_LimuVCoral","FC_LimuVCCA","FC_CoralVCCA","tuk_Coral_CCA_diff","tuk_Coral_CCA_p","tuk_Limu_CCA_diff","tuk_Limu_CCA_p","tuk_Limu_Coral_diff","tuk_Limu_Coral_p","f_stat","sum_of_sq","p_val","adj_p_val","sample_type_DA"
"Archaea_unclassified",2,6.36363636363636e-05,0,0,Inf,Inf,0,1.84933913421099e-18,1,0.0022177525076907,0.083270653121635,0.00221775250769069,0.0854407825436029,2.87658592912811,8.26084053929612e-05,0.0615205653737669,0.115063164575434,"NA"
"Nitrosopumilaceae",74,0.000790909090909091,0.0228962962962963,0.0267980952380952,-5.08247477264138,-4.85545855948332,0.227016213158057,0.000233053948564071,0.999912757390443,-0.115890332101624,1.11089028176359e-06,-0.116123386050188,1.20134778103242e-06,18.5539877549483,0.226024220962355,1.7911701851205e-07,1.93322851014729e-06,"CoralCCA"
"Nitrososphaeraceae",31,0,0.000683333333333333,0.000447619047619048,-Inf,-Inf,-0.610318074998051,-0.00579339851929409,0.363105273293924,-0.0153097164792242,0.00592292396615401,-0.00951631795993009,0.128842985372563,5.0121008004116,0.00320060473165997,0.00863343686164023,0.0225188811474449,"CCA"
"SCGC_AAA011-D5",1,0,0,4.95238095238095e-05,-Inf,0,Inf,0.00118986733668401,0.480985450674687,7.78517393298619e-19,1,-0.00118986733668401,0.572018342781447,0.825426944971536,3.09036783460456e-05,0.441336377019748,0.527245366439623,"NA"
"Woesearchaeales_unclassified",1,0,0.000511111111111111,0,0,-Inf,-Inf,-0.00377961291969945,0.500738768768641,-0.00377961291969946,0.586566606019267,-2.80653476649105e-18,1,0.788018433179723,0.000315202067573135,0.457857060383823,0.532515741603685,"NA"
"Thermoplasmata_unclassified",1,0,7.40740740740741e-06,0,0,-Inf,-Inf,-0.000453629374455554,0.50073876876864,-0.000453629374455553,0.586566606019267,6.28062829918389e-19,1,0.788018433179725,4.54042750994687e-06,0.457857060383823,0.532515741603685,"NA"
"Bryobacteraceae",1,0,0,3.61904761904762e-05,-Inf,0,Inf,0.00101707938930118,0.480985450674689,-3.69231073185341e-18,1,-0.00101707938930119,0.572018342781446,0.825426944971534,2.25799406753418e-05,0.441336377019749,0.527245366439623,"NA"
"PAUC26f_fa",64,3.03030303030303e-05,0.00421851851851852,0.00875619047619048,-8.17469745762177,-7.12113055401573,1.05356690360604,0.0179223074510691,0.184214834776118,-0.0537824759166723,3.11004153775718e-05,-0.0717047833677414,5.24619926389747e-08,19.748705820329,0.0715552719772095,7.74754250080032e-08,9.32684924134808e-07,"CoralCCA"
"Acidobacteriota_unclassified",43,0.00145454545454545,0.000177777777777778,0.000106666666666667,3.76938707185858,3.03242147769238,-0.736965594166206,-0.00234980571641135,0.639783187736074,0.0286230609679883,4.35398717080204e-10,0.0309728666843997,4.35391833697452e-10,62.3979719469053,0.0149946438740716,9.99400357995739e-18,6.25624624105333e-16,"Limu"
"Blastocatellaceae",10,3.63636363636364e-05,0.000188888888888889,9.71428571428571e-05,-1.41761144294267,-2.37696945844532,-0.959358015502654,-0.000451889104685456,0.982148366735791,-0.00207138172500168,0.748236155522514,-0.00161949262031622,0.838875829354203,0.275148221860917,6.10214188302871e-05,0.760096065828912,0.782598909883058,"NA"
