"","2637","2704","2710","2711","2641","2643","2631","2712","2703","2702","2843","2646","2844","2644","2701","2613","2647","2841","2610","2611","2608","2888","2614","2606","2853","2645","2681","2682","2612","2744","2683","2678","2609","2680","2607","2745","2679","2686","2748","2743","2713","2848","2747","2820","2714","2685","2749","2816","2817","2746","2819","2818","2821","2715","2823","2822","2751","2651","2876","2879","2878","2649","2880","2652","2877","2655","2648","2873","2874","2721","2654","2653","2722","2881","2656","2724","2720","2719","2788","2723","2789","2792","2857","2875","2790","2793","2791","2796","2861","2860","2727","2725","2906","2858","2859","2726","2908","2904","2903","2907","2911","2910","2909"
"id_2",68800000,60200000,63300000,59600000,57400000,52300000,58700000,63300000,62700000,68100000,59700000,6e+07,58100000,60600000,67600000,59500000,6e+07,62300000,61500000,59200000,5.8e+07,53900000,59300000,61200000,63300000,65700000,61600000,5.8e+07,62200000,59400000,57700000,6e+07,58100000,59500000,58700000,59300000,56700000,58600000,61500000,58800000,79200000,62100000,62800000,57300000,82500000,59900000,56800000,62900000,5.7e+07,60400000,57700000,59100000,58100000,87500000,58600000,57800000,57400000,58500000,52800000,69500000,75200000,56600000,73200000,57700000,54900000,58400000,61700000,50900000,53900000,57700000,6e+07,5.9e+07,57600000,69800000,58600000,64700000,58500000,57800000,61300000,58900000,58100000,59200000,60600000,50900000,61200000,58100000,78800000,60200000,73300000,52900000,89600000,76100000,74100000,74100000,53900000,8.6e+07,55200000,73500000,64900000,77800000,73900000,84300000,8e+07
"id_3",76800000,1.31e+08,74500000,1.85e+08,2.48e+08,2.82e+08,2.88e+08,1.85e+08,89100000,61100000,64100000,2.42e+08,89800000,27500000,3.6e+07,57500000,82100000,2.72e+08,2.31e+08,2.01e+08,1.75e+08,1.74e+08,21900000,1.4e+08,2.06e+08,1.11e+08,57800000,25200000,96800000,46400000,1.09e+08,1.81e+08,2.02e+08,1.42e+08,2.48e+08,58400000,2.28e+08,1.67e+08,51500000,1.52e+08,0,2.14e+08,87500000,36100000,2006779.057,1.43e+08,91800000,1.09e+08,90500000,1.19e+08,1.22e+08,1.41e+08,1.08e+08,20200000,1.58e+08,1.51e+08,99100000,25200000,1.17e+08,1.58e+08,1.62e+08,55300000,2.32e+08,55300000,1.82e+08,27100000,1.19e+08,1.65e+08,1.84e+08,17100000,29200000,1.08e+08,44100000,2.32e+08,43400000,90300000,35600000,31800000,1.75e+08,7e+07,2.53e+08,67100000,2835782.265,0,83100000,62600000,59900000,77500000,0,1.64e+08,5.5e+07,8e+07,0,0,2.08e+08,25200000,0,0,92500000,0,2.14e+08,1.19e+08,0
"id_4",89600000,94400000,86200000,1.28e+08,1.33e+08,1.3e+08,80400000,1.15e+08,1.12e+08,1.01e+08,1.08e+08,1.36e+08,84600000,1.3e+08,91600000,1.15e+08,1.84e+08,92300000,87600000,9.1e+07,1.53e+08,1.65e+08,1.16e+08,76300000,8.4e+07,86300000,1.74e+08,1.67e+08,1.46e+08,1.45e+08,1.68e+08,1.64e+08,1.5e+08,1.22e+08,88100000,1.33e+08,1.91e+08,1.19e+08,1.27e+08,1.31e+08,1.94e+08,80100000,1.08e+08,1.28e+08,1.11e+08,91500000,1.51e+08,1.07e+08,1.17e+08,1.21e+08,2.24e+08,1.45e+08,1.52e+08,1.39e+08,89800000,1.03e+08,1.39e+08,1.28e+08,1.09e+08,1.95e+08,1.99e+08,1.33e+08,1.51e+08,1.04e+08,1.66e+08,1.1e+08,1.31e+08,1.47e+08,1.26e+08,93500000,1.46e+08,1.3e+08,1.02e+08,1.19e+08,1.08e+08,1.02e+08,82400000,94100000,1.39e+08,1.3e+08,1.16e+08,1.24e+08,1.25e+08,1.05e+08,1.3e+08,1.17e+08,1.21e+08,1.31e+08,1.58e+08,89800000,1.23e+08,1.03e+08,1.3e+08,1.68e+08,1.21e+08,91900000,1.82e+08,1.68e+08,1.47e+08,1.48e+08,39100000,49300000,3558769.13
"id_10",67300000,79200000,61800000,8.8e+07,93600000,98100000,65400000,83600000,7.6e+07,63800000,76900000,1.17e+08,61400000,68500000,80400000,95600000,1.31e+08,66900000,61800000,62900000,1.2e+08,0,88200000,71400000,0,63500000,1.24e+08,1.11e+08,1.08e+08,1.06e+08,1.11e+08,1.07e+08,1.13e+08,84600000,81700000,1.02e+08,1.21e+08,96400000,98200000,99600000,1.33e+08,65100000,80100000,80300000,70100000,59700000,0,79500000,83600000,93600000,1.53e+08,0,1e+08,0,68100000,73100000,9.6e+07,84200000,0,0,0,0,0,74800000,0,0,9.9e+07,0,0,58800000,1.08e+08,94700000,0,0,79200000,74900000,59400000,63800000,1.17e+08,89100000,83300000,94600000,8.6e+07,0,1.02e+08,79700000,8.6e+07,87200000,0,0,96800000,83100000,0,0,80500000,61100000,0,0,0,0,15900000,15800000,206097.1669
"id_11",43800000,67100000,34500000,94900000,1.29e+08,1.32e+08,1.53e+08,97700000,36400000,8629813.213,0,1.25e+08,0,2686677.045,2908203.494,0,13100000,1.48e+08,0,1.01e+08,0,85600000,0,72200000,1.07e+08,3.7e+07,22900000,10700000,48200000,22200000,5.9e+07,93900000,0,74700000,1.35e+08,0,0,0,27500000,0,0,1.08e+08,44200000,0,0,71300000,46600000,55900000,46700000,0,62900000,6.6e+07,0,0,81700000,78100000,43200000,8687800.545,59300000,74800000,80100000,29100000,1.17e+08,28100000,0,13600000,58200000,88300000,93200000,0,0,0,20900000,1.2e+08,2.9e+07,0,0,0,0,0,0,38900000,0,89800000,0,0,0,0,1.19e+08,87400000,0,0,45700000,52500000,0,11500000,78800000,40500000,45400000,23300000,1.07e+08,43500000,66700000
"id_12",56800000,5705045.535,8.22e+08,6.42e+08,69300000,4528389.073,17600000,1.15e+09,1.18e+09,9.71e+08,664395.1919,15200000,2098482.177,165355.6592,2.62e+08,23900000,0,6.1e+07,1.06e+08,0,0,1.98e+08,5748699.721,44100000,6.06e+08,18400000,0,4424205.693,47100000,0,0,14500000,17800000,49300000,105395.1889,0,18200000,9349022.9,0,1664697.674,9.35e+08,24600000,0,8033764.673,9.07e+08,4712422.161,0,16100000,0,6057486.756,0,0,32800000,1.09e+09,9934313.65,29200000,16600000,13400000,0,0,0,0,0,15400000,0,0,0,0,12100000,20600000,22600000,24800000,0,0,18800000,96500000,0,0,25500000,43200000,21700000,22900000,3314203.54,0,11400000,81700000,20600000,17400000,0,0,68300000,2.65e+08,0,0,0,83200000,0,0,0,319863.9128,3.37e+08,2.14e+08,0
"id_13",48400000,61600000,48200000,75600000,85100000,564784.8313,0,66500000,65800000,40700000,0,0,335237.0907,6e+07,5231496.124,0,1.47e+08,49700000,0,0,681987.6839,98400000,0,883207.5503,51200000,60400000,0,0,96700000,0,0,1162528.992,707734.1841,648454.3435,0,0,727367.8727,0,0,0,0,680033.3148,0,0,539682.6906,297713.1694,432262.6998,0,0,0,0,0,962061.2702,764567.377,452299.1136,0,771073.2089,0,0,1139055.759,0,0,812469.4283,0,0,300830.8087,0,0,0,0,0,566148.7604,588430.4011,86100000,0,0,0,0,0,0,0,0,0,54200000,0,0,0,0,413805.3999,0,0,0,0,98100000,0,64500000,0,99400000,0,79900000,218620.8907,449576.0256,2154484.728
"id_14",35800000,1.48e+08,51700000,1.79e+08,3.9e+08,3.05e+08,2.92e+08,2.78e+08,4.87e+08,5.77e+08,66500000,2.6e+08,55200000,6.25e+08,6.01e+08,42100000,5.35e+08,3.19e+08,2.36e+08,2.18e+08,2.07e+08,1.4e+08,13400000,1.2e+08,3.25e+08,4.42e+08,43500000,1.3e+07,81100000,18600000,51400000,1.45e+08,2.5e+08,1.15e+08,2.95e+08,26900000,2.38e+08,1.76e+08,25100000,1.35e+08,8.27e+08,4.22e+08,68600000,8958699.904,7.86e+08,1.21e+08,75200000,88800000,68100000,1.27e+08,91100000,81400000,7.8e+07,6.91e+08,1.23e+08,1.59e+08,1.05e+08,14800000,1.72e+08,1.17e+08,2.12e+08,55100000,1.47e+08,37200000,2.06e+08,19400000,1.05e+08,1.41e+08,2.42e+08,5488553.593,21500000,97100000,30400000,2.06e+08,23300000,64400000,33800000,17900000,4540137.689,52500000,18500000,3843975.86,1624447.968,2.99e+08,51600000,1e+07,15600000,63100000,1.1e+08,33300000,35700000,1.22e+08,1.11e+08,1.16e+08,2.91e+08,19700000,2.36e+08,1.04e+08,87700000,3.8e+08,2.9e+08,1.47e+08,1.47e+08
"id_20",26100000,40300000,19500000,63800000,78800000,88900000,1.06e+08,63600000,0,2363303.539,0,7.6e+07,21400000,0,0,15600000,3675420.379,1.03e+08,77600000,68100000,59100000,54300000,3702740.71,39200000,64400000,5979317.46,11400000,3526423.433,27600000,0,36800000,57500000,71600000,46400000,86900000,0,69800000,50300000,0,0,0,63200000,17500000,6479442.165,0,4.8e+07,27600000,0,26200000,3.8e+07,28600000,41300000,32800000,0,53600000,3.7e+07,26700000,2697444.155,32600000,42200000,42200000,14700000,69300000,0,0,4795765.463,0,60400000,53600000,0,0,3.1e+07,9714532.409,65600000,11900000,26900000,0,0,72900000,0,0,22800000,0,45600000,0,20700000,0,17800000,73200000,60400000,13700000,0,20100000,23700000,70300000,0,38900000,20600000,24300000,4215979.085,57800000,25100000,34900000
