id	clade	color	linetype	line
639daa39ac589eecec709a0cafa48fa7	clade	#e6ab02	dashed	4
15cc37e3d4b5b76cfd020f8363272d1a	clade	#66a61e	dashed	4
e58f4a6599f2909f0315460e15ac03a6	clade	#7570b3	dashed	4
67a898fbc0ec23781eb47cdbf3d66753	clade	#7570b3	dashed	4
5f9754f2cb7c50a1b926dfe584416afa	clade	#d95f02	dashed	4
4a32c416629baa4011cacd0a3ee94494	clade	#a6761d	dashed	4
213e8abdfd7e35274a995067bea7cdaf	clade	#1b9e77	dashed	4
b2b1d69029a8e1be808ea59fead04b2d	clade	#66a61e	dashed	4
b080a74ef8b57abc6471ee9d73deff1a	clade	#66a61e	dashed	4
2bcacf79a3eaa56840d52485122217a1	clade	#66a61e	dashed	4
15c602dbfcddc1bbefdc15b3b2694794	clade	#66a61e	dashed	4
55f9ba897b784b459cb5a3c529bbbf5a	clade	#7570b3	dashed	4
f8aa660c7f143f95019a67917a38816e	clade	#66a61e	dashed	4
dd4dbc1931f1757606bc948ee342c8b1	clade	#66a61e	dashed	4
a2fa46d541e99d9fce8ed97963b3004d	clade	#66a61e	dashed	4
58c20711e4cae1e5a59ee84d8dfabda9	clade	#66a61e	dashed	4
c8a96895f7a74a5001762266bede53f1	clade	#66a61e	dashed	4
32a85bca6b6c37f36448bd4b03f36b68	clade	#d95f02	dashed	4
ad8fc26d70bf90fb533a2e50eb16fb1d	clade	#666666	dashed	4
6b7b58ea0c1f79da38103320448cb981	clade	#d95f02	dashed	4
d40477bd2be18f58499a9c737f934646	clade	#66a61e	dashed	4
c0b54b3ed3058fd84766214b9aa93374	clade	#7570b3	dashed	4
e2d6f7a1c3b18b02a62fedcbe84bc8b7	clade	#66a61e	dashed	4
e8cd05b98f1d9ebe8c8a88e6a76373aa	clade	#7570b3	dashed	4
a2595b58cef44bc074ba1d74ddd87619	clade	#1b9e77	dashed	4
979f50f2122a2431af58fae7ecced3b0	clade	#66a61e	dashed	4
6101c61b30af04c07dcd8b7803969c6c	clade	#a6761d	dashed	4
638ff149f0f5f407ec95784191b37673	clade	#66a61e	dashed	4
01aae1431cb388e12498b999e1d7bfdc	clade	#7570b3	dashed	4
1ced3de1ba4cedfaee15d6e17008fbed	clade	#d95f02	dashed	4
f0dccaa9a9522276a2bfe20500700602	clade	#66a61e	dashed	4
d4bdca0be545a4c7b4fb38e7e422ee80	clade	#66a61e	dashed	4
efaa3e019171ab43e8181a1ac0a15352	clade	#66a61e	dashed	4
bfdd5f90e32b2ef819c3e5444a2c2744	clade	#7570b3	dashed	4
4542b0b5c3b08e4eb15641c9979db676	clade	#7570b3	normal	6
f85a5d4e2240d778faf69157b48aa08e	clade	#66a61e	dashed	4
f1571cddfcd55ba2c384c2ec18de4de2	clade	#66a61e	dashed	4
ab5756d076506924e11b8a6fc9d97cc8	clade	#e7298a	dashed	4
b710d3631857d933a6fabce645e1cd5b	clade	#66a61e	dashed	4
64ac8607a89c45613cd9b0dac5c41200	clade	#66a61e	dashed	4
a19fb599ff7147e3a7f80658d87aed45	clade	#7570b3	dashed	4
85ef6d71d40371db695320737dcb79ca	clade	#666666	dashed	4
816a7eb1dd49b5041830f36c54b8c284	clade	#d95f02	dashed	4
6240c2bec27795a8adff6bef3f395250	clade	#d95f02	dashed	4
1ebcbd58f17041257769e3f2927c4557	clade	#66a61e	dashed	4
80edde69f1b813d1871211fb58eb879f	clade	#e7298a	dashed	4
30124efc3ee600586654513af8c4db3b	clade	#666666	dashed	4
ef0b2409e78f128ef6bd33dc9fb5cfd6	clade	#666666	dashed	4
37e1f267e068e1aabc4bc9ffcb4342fd	clade	#66a61e	dashed	4
abaad5e3635c933efc345da520ea3198	clade	#7570b3	dashed	4
47895bcef189ed571c19a1f9aff146f9	clade	#66a61e	dashed	4
1c9275fb4b2f10fb0ac5ebd571682d70	clade	#d95f02	dashed	4
699ffba1c8c6ecc7924bf42e6164d3a5	clade	#e6ab02	dashed	4
ad5d5470abba5cf64e10789f13a7eb1c	clade	#7570b3	dashed	4
75669e9aca04bac4ae908c2a6270e989	clade	#666666	dashed	4
6a7cfb007b24876ee729dae4eb1d27f6	clade	#7570b3	dashed	4
cb2e7343d58827e7e0c43d80906df26d	clade	#66a61e	dashed	4
180c3505fab25c2eda942c6cac1eb5dc	clade	#66a61e	dashed	4
e21935752ff0451d5f4263cfb639e661	clade	#a6761d	dashed	4
c61885dfb8416f483e8e99d5f9517eb9	clade	#66a61e	dashed	4
a55d6a712f2115e60c7b41d49945e544	clade	#66a61e	dashed	4
1a5cc160d5c55d3091a89f5cfd3abcd7	clade	#7570b3	dashed	4
aeb60bd4bc6476d908174e4a49b65be6	clade	#66a61e	dashed	4
6ead42e51e56d0dea0d08af67a81a52a	clade	#7570b3	dashed	4
5d829491a3c6d42c9ef665170a31e352	clade	#66a61e	dashed	4
00f96a8afc76be757ec149a46a861243	clade	#66a61e	dashed	4
f34d39e913f55bc4fe9748be39004093	clade	#666666	dashed	4
ec7a3e7dde529a500ae383872a1aa9b0	clade	#7570b3	dashed	4
03dfed84712ca5c29c626b8a606fd893	clade	#a6761d	dashed	4
ec258cb350929be3c9571254bbe5878f	clade	#666666	dashed	4
abc16fd49786f755859e7e58e9059c70	clade	#66a61e	dashed	4
beb8cbb8404363a3ddd5a600ac4f5ff4	clade	#66a61e	dashed	4
6368a6a570e00e3724b7c94894fbc8ad	clade	#666666	dashed	4
1bbca9746682ad39ff0c71da20f4b1ca	clade	#7570b3	dashed	4
d7b820cc8f7b654f2d3d71e8f6188560	clade	#d95f02	dashed	4
5ed30965ad52cafd9cdeea39d713d7e9	clade	#66a61e	dashed	4
c571e4b82e66ab2d41167e2ee0470aee	clade	#7570b3	dashed	4
28420be5cce5611524dc2bb14767a62f	clade	#66a61e	dashed	4
5f9c1bd078e389fbc465db8ccd71d2d9	clade	#a6761d	dashed	4
a4d415d82677e9bc5ef48855afc5ce6b	clade	#666666	dashed	4
59881ae03584c85cd8d5d86e6adc69da	clade	#1b9e77	dashed	4
68f8146cfb759fe4e6d1ff452a427f54	clade	#1b9e77	dashed	4
36341ed9dc97887cd84c1b6ab9b4fed5	clade	#7570b3	dashed	4
cf919c915373ffe1cbe8e5f5a34afc42	clade	#1b9e77	dashed	4
62608cd304eabe2c3d022f3b8e568988	clade	#66a61e	dashed	4
51ba939eb08ab1730f8c07816c86db66	clade	#7570b3	dashed	4
f6dbb51ad9e0f094a1aaade52b382886	clade	#66a61e	dashed	4
0b2a32d493dae260e9529e7ac8980515	clade	#666666	dashed	4
e46cc26195c98a6ec212ed38b5fc602b	clade	#1b9e77	dashed	4
323377b480c69560253468b514f168f0	clade	#1b9e77	dashed	4
372918131e0f142149f501fd5facf7d1	clade	#66a61e	dashed	4
10af836834609b97d0ac33e0b4bdf2d5	clade	#1b9e77	dashed	4
da0b5f1991633bcef6dd8b9c2da2875e	clade	#a6761d	normal	6
b3a65691844350f30f850f80a56348b0	clade	#66a61e	dashed	4
680d9569e3b0ca745c94c99d9bff1446	clade	#66a61e	dashed	4
86b8ba90a6e3312538da3400fc4a417f	clade	#e7298a	dashed	4
4ba375468d37197383a0b0261f828d30	clade	#66a61e	dashed	4
d211129448bdd797f6afc0c7b653107c	clade	#d95f02	dashed	4
3668050e7fcb8d939dfa772714355166	clade	#66a61e	dashed	4
65f3a02b8b707ef00502075c2b4c23f6	clade	#66a61e	dashed	4
513ff0d9646950b31bb14d4ea0673647	clade	#66a61e	dashed	4
f573a1dfe18ec49ae84a713bdcda2017	clade	#1b9e77	dashed	4
f01447abdba82d6a6cb6d9c162361f35	clade	#d95f02	dashed	4
8eefdbde9af9d401ecff29ede3c7f169	clade	#1b9e77	dashed	4
