"","Df","SumOfSqs","R2","F","Pr(>F)"
"plate",1,2.61098656052219,0.0813196036816175,13.4575349700276,0.001
"sample_type",3,6.02989336804223,0.187802015661674,10.3597495920899,0.001
"site_name",4,1.31428340841241,0.0409335718204722,1.69351838081653,0.001
"sample_type:site_name",7,2.36284678389106,0.0735912497335786,1.73979629571085,0.001
"Residual",102,19.7897036690901,0.616353559102658,NA,NA
"Total",117,32.107713789958,1,NA,NA
