class,n_samp_obs,Limu_MA,CCA_MA,Coral_MA,FC_LimuVCoral,FC_LimuVCCA,FC_CoralVCCA,tuk_Coral_CCA_diff,tuk_Coral_CCA_p,tuk_Limu_CCA_diff,tuk_Limu_CCA_p,tuk_Limu_Coral_diff,tuk_Limu_Coral_p,f_stat,sum_of_sq,p_val,adj_p_val,sample_type_DA
Nitrososphaeria,74,0.000790909090909091,0.0235796296296296,0.0272457142857143,-5.10637362630576,-4.89788537033419,0.208488255971573,-0.000521125961988944,0.999575128323059,-0.117697325136634,1.05097762093109e-06,-0.117176199174645,1.31917356016587e-06,18.5249421893075,0.231655383296568,1.82839736887959e-07,2.01123710576755e-06,CoralCCA
Acidobacteriae,65,3.03030303030303e-05,0.00421851851851852,0.00879238095238095,-8.18064801545045,-7.12113055401574,1.05951746143472,0.0189393868403703,0.145188227271629,-0.0537824759166724,2.4764702275526e-05,-0.0727218627570427,2.52125138544557e-08,20.7318648497831,0.0732794320919807,3.93228699003688e-08,6.9208251024649e-07,CoralCCA
Thermoanaerobaculia,85,0.00261515151515152,0.012962962962963,0.0169219047619048,-2.69392553006036,-2.30942907473572,0.384496455324636,0.0190725302317525,0.403040532882538,-0.0468349237397997,0.0177936820387422,-0.0659074539715522,0.000544179538263467,7.70920804543439,0.0595733287865788,0.000812215035731487,0.00210220362189326,CoralCCA
Vicinamibacteria,85,0.000778787878787879,0.0228,0.0303390476190476,-5.28380155821896,-4.87165958432932,0.412141973889638,0.0154099380503359,0.67207480678021,-0.11007919031008,2.10039293557784e-06,-0.125489128360416,9.79336860496005e-08,20.3711164440723,0.236793568987856,5.0372965988765e-08,7.38803501168553e-07,CoralCCA
Actinobacteria,59,5.75757575757576e-05,0.0010537037037037,0.00127428571428571,-4.46808348889021,-4.19386394605798,0.274219542832225,0.000103154539382248,0.999677343613273,-0.0257743455879164,2.41085349395043e-06,-0.0258775001272986,2.48622182641434e-06,17.3610296852922,0.0112019252110994,4.20209273071025e-07,4.10871289225003e-06,CoralCCA
Thermoleophilia,80,0.000387878787878788,0.00142962962962963,0.00116571428571429,-1.58753644438498,-1.88196365446307,-0.294427210078083,-0.00715858462996223,0.175563623738182,-0.0197873413646219,0.00010035336882519,-0.0126287567346596,0.0185136591497098,9.52357278009348,0.00534915854567689,0.000177120708175556,0.000502794268369322,CoralCCA
Bacteria_unclassified,89,0.0103424242424242,0.027137037037037,0.0353238095238095,-1.77206654998384,-1.39168881843556,0.38037773154828,0.0135521745144568,0.77434460556481,-0.0596117285363624,0.0266806191834678,-0.0731639030508192,0.00511847785431763,5.50532257181239,0.0770710553890865,0.00555125789674923,0.0125259152542034,CoralCCA
Bacteroidia,93,0.122678787878788,0.0356833333333333,0.0446266666666667,1.45890786190076,1.78156352231442,0.322655660413658,0.0210781189662526,0.59337586931326,0.177478423532028,9.2715590760406e-10,0.156400304565775,2.93525568295649e-08,28.8481863598372,0.476792454091155,2.08579005889884e-10,6.11831750610326e-09,Limu
Rhodothermia,78,0.000751515151515152,0.00515925925925926,0.00662095238095238,-3.13916465811986,-2.77928984940936,0.359874808710493,0.00639600389786311,0.804467005831567,-0.0340053184896231,0.0116928083307727,-0.0404013223874862,0.00230689154391406,6.5215990686746,0.0239164419459326,0.00226486908338065,0.0055363466482638,CoralCCA
Anaerolineae,86,0.0039030303030303,0.0379333333333333,0.0443390476190476,-3.50591121317612,-3.28079958282926,0.225111630346858,0.00375139350737691,0.988759480665922,-0.112734449635128,0.000830303132877019,-0.116485843142505,0.000578429647194345,9.06379089611444,0.22076771131356,0.000259281098663733,0.000713023021325265,CoralCCA
