"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)","description"
"sample_type",2,3.36661280528795,1.68330640264398,5.247045036665,0.0881944658416408,0.001,"All microbe samples"
"site_name",4,2.93053269364106,0.732633173410265,2.2836954996431,0.0767705645095805,0.001,"All microbe samples"
"sample_type:site_name",7,3.32334091103636,0.474762987290909,1.47988671114435,0.0870608808943371,0.001,"All microbe samples"
"Residuals",89,28.552121963591,0.320810359141472,NA,0.747974088754442,NA,"All microbe samples"
"Total",102,38.1726083735564,NA,NA,1,NA,"All microbe samples"
